product,price,link,years,kilometraje,created,id,city,state
audi q3 sline,118000000,https://carro.mercadolibre.com.co/mco-1415199945-audi-q3-sline-2018-_jm#position=27&search_layout=grid&type=item&tracking_id=e9954a14-4aab-42a7-8919-04d857da5dd1,2018,24000,2024-04-21,1415199945,usaquen,bogota d.c.
renault sandero rs,46000000,https://carro.mercadolibre.com.co/mco-1415302583-renault-sandero-rs-2017-_jm#position=28&search_layout=grid&type=item&tracking_id=e9954a14-4aab-42a7-8919-04d857da5dd1,2017,48827,2024-04-21,1415302583,usaquen,bogota d.c.
mazda 3 touring,60900000,https://carro.mercadolibre.com.co/mco-1415277115-mazda-3-touring-2016-_jm#position=29&search_layout=grid&type=item&tracking_id=e9954a14-4aab-42a7-8919-04d857da5dd1,2016,52566,2024-04-21,1415277115,usaquen,bogota d.c.
mercedes-benz amg 2.0 a45 amg 4matic,125000000,https://carro.mercadolibre.com.co/mco-1415211885-mercedes-benz-amg-20-a45-amg-4matic-_jm#position=30&search_layout=grid&type=item&tracking_id=e9954a14-4aab-42a7-8919-04d857da5dd1,2017,44217,2024-04-21,1415211885,teusaquillo,bogota d.c.
kia picanto 1.25 ex,36500000,https://carro.mercadolibre.com.co/mco-1415302019-kia-picanto-125-ex-2017-_jm#position=31&search_layout=grid&type=item&tracking_id=e9954a14-4aab-42a7-8919-04d857da5dd1,2017,75000,2024-04-21,1415302019,medellin,antioquia
mercedes-benz clase cla amg line,146000000,https://carro.mercadolibre.com.co/mco-1415276571-mercedez-benz-cla-180-amg-line-_jm#position=32&search_layout=grid&type=item&tracking_id=e9954a14-4aab-42a7-8919-04d857da5dd1,2022,33000,2024-04-21,1415276571,usaquen,bogota d.c.
ds ds7 performance line,130000000,https://carro.mercadolibre.com.co/mco-1415288843-ds-ds7-crossback-performance-line-2022-_jm#position=33&search_layout=grid&type=item&tracking_id=e9954a14-4aab-42a7-8919-04d857da5dd1,2022,14700,2024-04-21,1415288843,suba,bogota d.c.
chevrolet captiva 2.4 sport,52000000,https://carro.mercadolibre.com.co/mco-1415224391-chevrolet-captiva-24-sport-_jm#position=34&search_layout=grid&type=item&tracking_id=e9954a14-4aab-42a7-8919-04d857da5dd1,2017,51753,2024-04-21,1415224391,suba,bogota d.c.
bmw x1 1.5 sdrive18i,108000000,https://carro.mercadolibre.com.co/mco-1415198467-bmw-x1-15-sdrive18i-2018-_jm#position=35&search_layout=grid&type=item&tracking_id=e9954a14-4aab-42a7-8919-04d857da5dd1,2018,48000,2024-04-21,1415198467,envigado,antioquia
mazda 2 1.5 touring,62800000,https://carro.mercadolibre.com.co/mco-1415288361-mazda-2-15-touring-2018-_jm#position=36&search_layout=grid&type=item&tracking_id=e9954a14-4aab-42a7-8919-04d857da5dd1,2018,51570,2024-04-21,1415288361,envigado,antioquia
